,dur,proto,state,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,label
11,0.0,6,4,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.756,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0
12,1e-05,117,4,2,0,1290,0,100000.0025,254,0,516000000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,645,0,0,0,9,2,5,5,1,9,0,0,0,5,9,0,0
13,1.1e-05,117,4,2,0,1064,0,90909.0902,254,0,386909088.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,23,2,7,7,1,23,0,0,0,7,23,0,0
14,0.088919,111,3,34,38,2230,13392,798.479526,31,29,194784.0156,1173202.625,7,11,2.685182,2.39,144.219724,140.407681,255,1195350327,1195593628,255,0.000624,0.000485,0.000139,66,352,0,0,4,0,1,1,1,1,0,0,0,2,3,0,0
15,0.373101,111,3,28,30,5080,3080,152.773647,31,29,105043.9453,63854.02344,7,7,13.806777,12.846414,836.723384,21.880449,255,4054607737,1908174279,255,0.000702,0.000548,0.000154,181,103,0,0,9,0,2,1,1,1,0,0,0,1,10,0,0
16,1.567904,111,3,122,126,7816,16782,157.535156,31,29,39553.44141,84949.07813,30,32,12.955033,12.538928,778.726735,769.197475,255,3682668371,1538283752,255,0.000678,0.000531,0.000147,64,133,0,0,1,0,4,1,1,1,0,0,0,3,11,0,0
17,0.029897,111,3,46,48,2854,30622,3110.679935,31,29,747098.375,8023547.5,7,17,0.657111,0.626043,40.605253,39.58705,255,2208527720,2220270667,255,0.000609,0.000472,0.000137,62,638,0,0,3,0,5,1,1,1,0,0,0,5,5,0,0
18,0.004949,111,3,24,20,2158,1918,8688.623616,31,29,3344514.0,2946857.75,6,5,0.215174,0.224842,12.869879,13.25027,255,3643361413,1494088318,255,0.000655,0.000532,0.000123,90,96,0,0,7,0,4,1,1,2,0,0,0,4,3,0,0
19,0.107036,111,3,88,164,5488,192828,2345.005375,31,29,405545.7813,14324377.0,10,71,1.226287,0.653387,69.466973,39.902536,255,4040314278,4043937831,255,0.000657,0.00053,0.000127,62,1176,0,0,10,0,8,6,1,6,0,0,0,12,14,0,0
20,1.100694,111,3,52,42,37268,3380,84.492152,31,29,265665.125,23984.86914,18,8,21.574921,26.834,1738.272902,55.411117,255,3009573556,882661826,255,0.000643,0.000496,0.000147,717,80,0,0,6,0,6,3,1,2,0,0,0,8,2,0,0
21,1.615267,111,3,10,8,534,354,10.524576,254,252,2382.268555,1535.349854,2,1,179.474111,207.733,10360.92241,338.202906,255,4091119536,108369329,255,0.159581,0.113072,0.046509,53,44,0,0,7,1,1,3,1,3,0,0,0,3,4,0,0
22,0.828617,111,3,20,8,17802,354,32.584416,254,252,163279.2969,2992.938965,7,1,42.171525,106.049,3673.668996,143.363078,255,1314603036,750873894,255,0.14899,0.086271,0.062719,890,44,0,0,4,1,1,1,1,3,0,0,0,3,2,0,0
23,0.006975,111,3,18,18,4560,2456,5017.921296,31,29,4939928.5,2660932.0,7,7,0.390824,0.378471,21.219386,0.56052,255,474962153,478569602,255,0.000687,0.000537,0.00015,253,136,0,0,7,0,4,1,1,4,0,0,0,7,7,0,0
24,0.61286,111,3,10,6,534,268,24.475409,254,252,6278.758301,2923.995605,2,1,65.933333,97.735797,3457.402055,152.564359,255,3728896725,4025208946,255,0.248382,0.124177,0.124205,53,45,0,0,4,1,2,1,1,4,0,0,0,2,4,0,0
25,1.483941,111,3,10,10,828,1364,12.803744,62,252,4021.723389,6620.209473,2,2,164.882333,143.112109,8996.679238,260.723469,255,1196015250,1223959088,255,0.289601,0.195185,0.094416,83,136,1,236,3,1,1,1,1,4,0,0,1,1,3,0,0
26,0.001722,117,2,4,4,528,304,4065.040751,31,29,1839721.25,1059233.5,0,0,0.445333,0.208,0.622726,0.284977,0,0,0,0,0.0,0.0,0.0,132,76,0,0,11,0,4,1,1,3,0,0,0,6,5,0,0
27,0.003706,111,3,20,14,1362,782,8904.47911,29,31,2793308.0,1569347.0,3,3,0.195053,0.233769,0.30873,0.419684,255,750736410,749763850,255,0.0,0.0,0.0,68,56,0,0,1,0,1,1,1,1,0,0,0,1,1,0,0
28,0.073203,111,3,86,84,4966,79778,2308.648633,31,29,536480.75,8614838.0,7,36,0.856812,0.875108,51.673812,1.377368,255,1205289017,3359964967,255,0.000693,0.000559,0.000134,58,950,0,0,13,0,5,1,1,1,0,0,0,5,5,0,0
29,0.033797,111,3,122,126,7820,15676,7308.341063,31,29,1835902.625,3681273.5,30,32,0.27624,0.266488,17.322176,15.601364,255,3139197412,3144392991,255,0.00063,0.000481,0.000149,64,124,0,0,11,0,4,1,1,2,0,0,0,5,12,0,0
30,9e-06,117,4,2,0,1064,0,111111.1072,254,0,472888864.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,35,2,15,15,1,35,0,0,0,15,35,0,0
31,0.135325,111,2,6,2,998,86,51.727323,62,252,49185.29297,2542.028564,2,1,27.065,0.006,1698.524714,0.0,255,4102650079,3688883013,255,0.119002,0.072129,0.046873,166,43,0,0,6,3,3,3,1,5,0,0,0,4,5,0,0
32,0.126063,111,3,38,38,2438,16920,594.940605,31,29,150654.8281,1045508.938,7,12,3.397892,3.393946,204.262171,5.458851,255,2109954359,2180108968,255,0.000611,0.00048,0.000131,64,445,0,0,18,0,1,1,1,1,0,0,0,6,10,0,0
33,0.001112,117,2,2,2,146,178,2697.841802,31,29,525179.875,640287.8125,0,0,0.012,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,3,0,1,2,1,1,0,0,0,4,3,0,0
34,0.154655,111,3,88,164,5488,192828,1622.967306,31,29,280676.3438,9913834.0,10,71,1.772632,0.945791,100.16215,56.09015,255,3997994782,1856291102,255,0.000618,0.000487,0.000131,62,1176,0,0,12,0,8,6,1,6,0,0,0,8,8,0,0
35,9e-06,111,5,2,0,90,0,111111.1072,254,0,40000000.0,0.0,1,0,0.009,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,9,6,2,1,1,8,0,0,0,2,9,0,0
36,0.001105,117,2,2,2,132,164,2714.932048,31,29,477828.0313,593665.125,0,0,0.012,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,3,0,5,1,1,2,0,0,0,12,2,0,0
37,0.001038,117,2,2,2,130,162,2890.173445,31,29,500963.4063,624277.4375,0,0,0.001,0.003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,2,0,1,1,1,1,0,0,0,1,2,0,0
38,4.351154,111,3,10,6,534,268,3.447361,254,252,884.363098,411.844788,2,1,481.469889,849.749187,41304.07502,1671.91075,255,514273098,3469997251,255,0.179296,0.102402,0.076894,53,45,0,0,2,1,1,1,1,1,0,0,0,1,1,0,0
39,1.173466,111,3,10,10,830,1200,16.191352,62,252,5092.605957,7362.804199,2,2,130.289111,122.072,8315.196024,189.431766,255,2211976659,3974733444,255,0.178181,0.07481,0.103371,83,120,1,135,2,1,1,1,1,2,0,0,1,1,2,0,0
40,11.026482,111,5,8,0,360,0,0.634835,254,0,228.54071,0.0,7,0,1575.21175,0.0,3100.50775,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,28,6,10,2,2,27,0,0,0,11,27,0,0
41,0.154186,111,3,60,62,3598,46036,784.766474,31,29,183622.3906,2350096.75,7,24,2.559424,2.518246,143.651232,138.047811,255,1540478171,1540759558,255,0.000721,0.000563,0.000158,60,743,0,0,13,0,4,1,1,2,0,0,0,4,5,0,0
42,0.206479,111,3,42,34,3022,17186,363.233068,31,29,114336.0859,646303.0,8,11,5.036073,6.236788,675.922738,23.04557,255,834173010,2979836175,255,0.000669,0.000525,0.000144,72,505,0,0,16,0,1,1,1,1,0,0,0,6,10,0,0
43,0.365304,111,3,10,6,546,268,41.061692,254,252,10774.58789,4905.503418,2,1,36.559222,62.523801,1898.913448,87.507758,255,3674585162,282649604,255,0.093328,0.05268,0.040648,55,45,0,0,6,1,1,1,1,5,0,0,0,1,5,0,0
44,0.752429,111,3,10,8,818,1088,22.593494,62,252,7835.955078,10121.88477,2,2,83.508667,91.768289,4460.489295,150.822453,255,1136454592,3092002535,255,0.188021,0.110043,0.077978,82,136,1,142,2,1,1,1,1,2,0,0,1,1,2,0,0
45,1.64463,111,3,10,6,654,268,9.120593,254,252,2865.082275,1089.606812,2,1,182.619778,311.654,12741.21528,577.338062,255,1786708138,446053786,255,0.23182,0.086354,0.145466,65,45,0,0,2,1,1,1,1,2,0,0,0,1,2,0,0
46,0.269268,111,3,10,6,684,268,55.706581,254,252,18301.46875,6655.07959,2,1,27.321111,43.515199,1443.082394,64.258285,255,39922423,2928040486,255,0.086605,0.051691,0.034914,68,45,0,0,4,1,2,2,1,4,0,0,0,2,4,0,0
47,0.433336,111,2,6,2,1012,86,16.153747,62,252,15581.44336,793.841309,2,1,86.6672,0.009,4527.958099,0.0,255,172739945,4134199385,255,0.282476,0.142927,0.139549,169,43,0,0,3,3,2,2,1,3,0,0,0,2,3,0,0
48,5e-06,117,4,2,0,1776,0,200000.0051,254,0,1420800000.0,0.0,0,0,0.005,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,888,0,0,0,5,2,17,2,1,36,0,0,0,16,5,0,0
49,1.368762,111,3,10,10,820,1164,13.881157,62,252,4313.386719,6125.243164,2,2,152.084667,135.842219,10246.63918,206.755484,255,132700348,2069763352,255,0.214218,0.144974,0.069244,82,116,1,131,5,1,4,4,2,4,0,0,4,4,4,0,0
50,0.018343,111,3,16,18,1540,1644,1799.051435,31,29,629777.0625,677315.625,4,4,1.202067,1.051,72.862862,2.139781,255,1930289746,4084499287,255,0.000581,0.000472,0.000109,96,91,0,0,13,0,9,9,1,9,0,0,0,12,9,0,0
51,0.00105,117,2,2,2,132,164,2857.142959,31,29,502857.1563,624761.9375,0,0,0.011,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,3,0,3,1,1,1,0,0,0,8,5,0,0
52,0.006715,111,3,18,18,4560,2456,5212.211357,31,29,5131198.5,2763961.25,7,7,0.375765,0.362176,18.025863,0.514532,255,1772119185,3925279797,255,0.000716,0.000554,0.000162,253,136,0,0,6,0,5,1,1,4,0,0,0,4,5,0,0
53,1.1e-05,117,4,2,0,1064,0,90909.0902,254,0,386909088.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,4,2,1,1,1,4,0,0,0,1,4,0,0
54,0.021987,111,3,60,62,3598,46036,5503.251801,31,29,1287670.0,16480283.0,7,24,0.367441,0.351623,0.0,18.750647,255,244726577,244975556,255,0.000667,0.000534,0.000133,60,743,0,0,8,0,3,1,1,1,0,0,0,9,7,0,0
55,0.194693,111,3,52,42,37232,3380,477.675111,31,29,1500454.625,135598.0938,18,8,3.88682,4.854675,468.39488,15.848848,255,3619510459,1471015382,255,0.000629,0.000499,0.00013,716,80,0,0,1,0,8,1,1,2,0,0,0,5,1,0,0
56,0.97915,111,3,10,8,816,1346,17.361998,62,252,6005.208496,9624.674805,2,2,108.689222,132.707,6091.636117,249.622016,255,2883267829,3343828454,255,0.110445,0.050198,0.060247,82,168,1,271,1,1,1,1,1,1,0,0,1,2,1,0,0
57,0.042873,111,3,96,98,5486,92746,4501.667836,31,29,1013038.563,17129662.0,7,42,0.447989,0.43634,0.0,22.641727,255,1427841411,3587953746,255,0.000677,0.000545,0.000132,57,946,0,0,5,0,7,1,1,1,0,0,0,5,13,0,0
58,54.628231,111,3,20,16,1176,708,0.640694,254,252,163.724869,97.239098,4,1,2875.120895,3636.943,382586.4913,13115.164,255,841999439,2916822678,255,0.119967,0.074078,0.045889,59,44,0,0,3,1,2,2,2,2,0,0,0,4,2,0,0
59,0.501868,111,3,16,18,1540,1644,65.754341,31,29,23018.00391,24755.51367,4,4,33.4364,29.491705,1953.211581,60.596625,255,4035152582,1942841564,255,0.000643,0.000499,0.000144,96,91,0,0,8,0,7,4,1,7,0,0,0,10,5,0,0
60,0.020247,111,3,52,42,37178,3380,4593.273228,31,29,14407666.0,1303896.875,18,8,0.390235,0.481268,21.467515,0.822825,255,4161098070,2016774584,255,0.000641,0.000508,0.000133,715,80,0,0,1,0,4,1,1,1,0,0,0,7,1,0,0
61,0.868752,111,3,14,12,2046,678,28.776912,254,252,17496.36328,5727.756348,4,4,66.827075,75.134273,3381.659,101.250016,255,2448362912,807069307,255,0.080888,0.042192,0.038696,146,57,0,0,4,1,1,1,1,4,0,0,0,1,5,0,0
62,4.306981,111,3,52,54,2934,3742,24.379025,31,29,5345.739746,6822.412109,11,15,84.443474,81.253625,7223.163658,217.187047,255,876681230,3075969713,255,0.000693,0.000532,0.000161,56,69,0,0,10,0,1,1,1,1,0,0,0,2,6,0,0
63,1.053877,111,3,40,34,2918,17186,69.268046,31,29,21604.03906,126625.7813,8,11,27.022488,31.914848,2336.853482,2540.893788,255,342444950,342759427,255,0.000691,0.000549,0.000142,73,505,0,0,2,0,3,1,1,1,0,0,0,2,10,0,0
64,0.001143,111,2,2,1,3000,52,1749.78132,31,30,10498688.0,0.0,0,0,0.008,0.0,0.0,0.0,255,970070459,971059393,255,0.0,0.0,0.0,1500,52,0,0,8,0,2,1,1,1,0,0,0,1,2,0,0
65,0.292492,111,2,6,2,1012,86,23.932278,62,252,23084.39258,1176.100586,2,1,58.4984,0.007,3718.674028,0.0,255,3690638362,1240370764,255,0.261099,0.16301,0.098089,169,43,0,0,15,3,4,3,1,8,0,0,0,7,8,0,0
66,0.022179,111,3,52,54,2934,3742,4734.208018,31,29,1038099.125,1324856.875,11,15,0.428706,0.408226,29.447541,0.706806,255,2438386962,2443629934,255,0.000674,0.000539,0.000135,56,69,0,0,1,0,7,1,1,4,1,1,0,6,2,0,0
67,0.594847,111,3,10,6,534,268,25.216567,254,252,6468.890137,3012.539307,2,1,64.222333,104.077203,3424.096829,168.335469,255,945121910,3606605796,255,0.167993,0.074452,0.093541,53,45,0,0,4,1,1,1,1,4,0,0,0,1,4,0,0
68,0.001062,117,2,2,2,146,178,2824.858614,31,29,549905.8125,670433.125,0,0,0.006,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,5,0,1,2,1,1,0,0,0,6,3,0,0
69,0.003175,117,4,4,0,186,0,944.881901,254,0,352755.9063,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,47,0,0,0,3,2,1,1,1,1,0,0,0,1,1,0,0
70,6.384817,111,3,52,48,2934,3346,15.505534,31,29,3606.054688,4105.990723,11,14,125.186296,135.834922,8123.657036,253.155906,255,863422399,1216610386,255,0.000725,0.000572,0.000153,56,70,0,0,1,0,7,1,1,2,0,0,0,4,2,0,0
71,1.596161,111,3,10,10,798,1224,11.903561,62,252,3603.646484,5523.252441,2,2,177.351222,162.920109,13500.26046,291.560719,255,3583430830,985226210,255,0.165006,0.1068,0.058206,80,122,1,167,2,1,1,1,1,2,0,0,1,2,2,0,0
72,0.000997,117,2,2,2,146,178,3009.027007,31,29,585757.25,714142.4375,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,5,0,2,2,2,2,0,0,0,3,3,0,0
73,0.025552,111,3,16,18,1540,1644,1291.48399,31,29,452097.6563,486224.1563,4,4,1.682,1.475471,98.867313,2.937096,255,1590157889,3743174380,255,0.000588,0.000465,0.000123,96,91,0,0,10,0,8,6,1,7,0,0,0,10,6,0,0
74,0.09111,117,2,4,4,528,304,76.830206,31,29,34771.15625,20019.75586,0,0,25.349,14.941,35.833344,21.124814,0,0,0,0,0.0,0.0,0.0,132,76,0,0,6,0,3,1,1,1,0,0,0,4,8,0,0
75,1.016804,111,2,6,2,1012,86,6.884316,62,252,6640.414551,338.314972,2,1,203.3608,0.004,10430.44545,0.0,255,4104767427,3800035095,255,0.391645,0.06817,0.323475,169,43,0,0,1,3,1,1,1,1,0,0,0,1,1,0,0
76,0.915918,111,3,10,8,534,354,18.560614,254,252,4201.249512,2707.666016,2,1,101.768667,116.131289,5524.818969,208.003281,255,352576095,3465338713,255,0.140194,0.087459,0.052735,53,44,0,0,2,1,1,1,1,2,0,0,0,1,2,0,0
77,0.001091,117,2,2,2,130,162,2749.770747,31,29,476626.9375,593950.5,0,0,0.034,0.01,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,3,0,2,1,1,1,0,0,0,1,2,0,0
78,3.326945,111,3,122,126,7814,15296,74.242284,31,29,18635.71484,36489.93359,30,32,27.492513,26.611216,1624.629227,1597.284616,255,3629240820,3640424874,255,0.000671,0.000539,0.000132,64,121,0,0,8,0,2,1,1,2,0,0,0,3,4,0,0
79,0.019496,111,3,16,18,1540,1644,1692.654952,31,29,592531.8125,637258.9375,4,4,1.276467,1.120059,78.181241,2.143135,255,2599745718,2607246784,255,0.000578,0.000452,0.000126,96,91,0,0,11,0,11,6,1,6,0,0,0,9,13,0,0
80,0.014887,111,3,8,10,1040,824,1141.935884,31,29,489017.25,398737.1563,2,2,2.077,1.572111,120.282223,2.745591,255,3385085597,1240774669,255,0.000962,0.000732,0.00023,130,82,1,83,3,0,2,1,1,1,0,0,1,2,1,0,0
81,1.140576,111,3,344,746,18370,1087890,954.780738,31,29,128475.4375,7620234.0,2,370,3.324376,1.530217,197.788854,120.687011,255,3034296649,889985510,255,0.000722,0.000559,0.000163,53,1458,0,0,10,0,3,1,1,1,0,0,0,3,8,0,0
82,0.486679,111,3,20,8,17286,354,55.478048,254,252,269943.8438,5095.76123,7,1,23.121895,57.79357,1852.709346,89.352539,255,1832276434,922907541,255,0.190148,0.082115,0.108033,864,44,0,0,4,1,1,1,1,4,0,0,0,1,5,0,0
83,1e-05,117,4,2,0,78,0,100000.0025,254,0,31200000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,7,2,1,1,1,7,0,0,0,1,7,0,0
84,0.005072,111,3,24,20,2158,1918,8477.91803,31,29,3263407.0,2875394.25,6,5,0.220522,0.228579,13.253498,13.977714,255,2436009059,286748134,255,0.000737,0.000599,0.000138,90,96,0,0,4,0,3,2,2,2,0,0,0,4,5,0,0
85,0.026972,111,3,60,62,3598,46036,4486.133842,31,29,1049681.125,13434377.0,7,24,0.451729,0.432508,25.794628,25.186004,255,3918120710,3918431402,255,0.000714,0.000578,0.000136,60,743,0,0,6,0,3,1,1,1,0,0,0,5,14,0,0
86,0.448898,111,3,52,40,37232,3276,202.718663,31,29,650767.0,56939.44141,18,8,8.795196,11.497,880.23872,30.222326,255,689931319,2836281649,255,0.000638,0.000511,0.000127,716,82,0,0,1,0,2,1,1,1,0,0,0,9,1,0,0
87,0.012684,111,3,44,46,2766,24004,7016.714123,31,29,1705455.75,14811101.0,7,16,0.287488,0.269578,0.0,16.109529,255,2855228356,712035830,255,0.000734,0.00055,0.000184,63,522,0,0,2,0,6,1,1,5,0,0,0,8,7,0,0
88,0.016954,111,3,48,50,2958,32368,5721.363968,31,29,1366993.125,14968032.0,7,18,0.353532,0.334837,20.10561,19.509818,255,4260651272,2111359281,255,0.000663,0.000539,0.000124,62,647,0,0,6,0,2,1,1,1,0,0,0,2,11,0,0
89,5.073088,111,2,6,2,1012,86,1.37983,62,252,1330.944702,67.808792,2,1,1014.6176,0.009,51614.16514,0.0,255,3497911371,1504401733,255,3.014676,1.264046,1.75063,169,43,0,0,1,3,1,1,1,1,0,0,0,2,2,0,0
90,0.050206,111,3,46,48,2854,30622,1852.368175,31,29,444887.0625,4777915.0,7,17,1.107044,1.046617,69.604651,67.199895,255,3531502625,1394271244,255,0.001212,0.00101,0.000202,62,638,0,0,7,0,3,1,1,2,0,0,0,2,3,0,0
91,1.18797,111,3,14,18,1684,10168,26.094934,31,29,10532.25195,64675.03125,3,4,91.353154,69.847705,10227.94375,8956.315462,255,3581799547,1433305033,255,0.000721,0.000554,0.000167,120,565,1,0,2,0,1,1,1,1,0,0,1,2,1,0,0
92,1.042655,111,3,10,10,802,1166,18.22271,62,252,5539.704102,8056.355957,2,2,115.850556,106.388891,8178.840158,151.762531,255,2066621488,693742149,255,0.124593,0.084371,0.040222,80,117,1,130,3,1,3,3,3,3,0,0,9,5,3,0,0
93,0.437373,111,3,10,6,534,268,34.295669,254,252,8797.982422,4097.189453,2,1,46.438667,71.376203,2415.336452,118.632852,255,1444592826,2889644883,255,0.136392,0.080483,0.055909,53,45,0,0,5,1,1,1,1,3,0,0,0,3,3,0,0
94,1.361681,111,3,370,746,19722,1087890,818.840839,31,29,115557.1719,6382887.0,2,370,3.689268,1.827024,199.024977,110.72604,255,2635114885,2640315951,255,0.000687,0.000542,0.000145,53,1458,1,524288,1,0,1,1,1,1,0,0,1,1,2,0,0
95,9e-06,117,4,2,0,78,0,111111.1072,254,0,34666664.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,39,0,0,0,9,2,1,1,1,4,0,0,0,3,4,0,0
96,1.079228,111,3,10,10,608,646,17.605176,254,252,4062.162842,4314.194824,2,3,119.914222,108.130555,6305.193992,160.262922,255,3179636166,848279162,255,0.246013,0.089345,0.156668,61,65,0,0,2,1,1,1,1,1,0,0,0,17,1,0,0
97,0.235522,111,3,96,98,5486,92746,819.45635,31,29,184407.4063,3118180.0,7,42,2.475653,2.417546,0.0,126.678128,255,3138123110,1122698581,255,0.001187,0.001013,0.000174,57,946,0,0,11,0,4,1,1,1,0,0,0,10,8,0,0
98,27.413933,111,5,4,0,180,0,0.109433,254,0,39.396027,0.0,3,0,9137.977,0.0,12923.047,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,11,6,1,1,1,10,0,0,0,1,10,0,0
99,0.41378,111,3,52,40,37310,3276,219.923629,31,29,707487.0625,61771.95703,18,8,8.106431,10.595359,844.247633,28.993297,255,3048363393,899799087,255,0.00069,0.000556,0.000134,718,82,0,0,1,0,2,1,1,1,0,0,0,1,3,0,0
100,0.038378,111,3,122,126,7812,15362,6435.978903,31,29,1615092.0,3177028.5,30,32,0.314264,0.3002,21.8985,18.186995,255,93357001,2243942918,255,0.000986,0.00085,0.000136,64,122,0,0,9,0,4,1,1,2,0,0,0,5,5,0,0
101,0.658704,111,3,10,6,534,268,22.771989,254,252,5841.774414,2720.493652,2,1,66.988556,121.34,3422.910918,168.683078,255,1882388116,2446708642,255,0.104244,0.052,0.052244,53,45,0,0,5,1,1,1,1,4,0,0,0,1,4,0,0
102,0.003101,111,3,6,8,320,1828,4192.195935,31,29,688810.0625,4127700.5,1,2,0.5574,0.356143,30.360999,0.577541,255,3512605500,3521281981,255,0.000763,0.000605,0.000158,53,229,0,0,6,0,4,2,1,4,0,0,0,8,3,0,0
103,0.021546,111,3,16,18,1540,1644,1531.606751,31,29,536155.1875,576626.75,4,4,1.415133,1.239706,92.748735,2.423312,255,1539477744,3691197165,255,0.000584,0.000464,0.00012,96,91,0,0,9,0,6,6,1,6,0,0,0,9,7,0,0
104,0.0,6,4,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.704,0.0,10.954516,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,1,2,1,1,1,1,0,0,0,1,1,1,0
105,0.738717,111,3,10,6,576,268,20.305475,254,252,5620.555664,2425.827393,2,1,76.912333,133.165203,4116.453037,215.719562,255,1401648991,3564446734,255,0.149995,0.072887,0.077108,58,45,0,0,5,1,1,1,1,5,0,0,0,1,5,0,0
106,3.001796,111,3,10,8,984,354,5.663276,254,252,2361.253174,826.172058,2,1,333.431111,415.926156,22389.3887,636.001313,255,1583065610,1192003740,255,0.183317,0.090304,0.093013,98,44,0,0,8,1,2,2,1,6,0,0,0,4,10,0,0
107,0.043568,111,3,96,98,5486,92746,4429.856756,31,29,996878.4375,16856408.0,7,42,0.454684,0.44334,0.0,23.632246,255,3384508064,3394637478,255,0.000714,0.00056,0.000154,57,946,0,0,16,0,5,1,1,1,0,0,0,6,3,0,0
