,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
144,490,2,1,31.0,3,145260.23,1,0.0,1.0,114066.77,0
145,559,2,0,40.0,5,139129.44,1,0.0,1.0,32635.54,0
146,748,2,1,60.0,3,0.0,2,1.0,1.0,78194.37,0
147,550,2,1,45.0,0,0.0,2,0.0,1.0,70399.71,0
148,702,1,1,28.0,1,103033.83,1,1.0,1.0,40321.87,0
149,754,0,0,27.0,7,0.0,2,1.0,0.0,144134.64,0
150,706,1,0,44.0,2,185932.18,2,1.0,0.0,65413.41,0
151,562,2,0,29.0,9,120307.58,1,1.0,1.0,6795.61,0
152,577,0,1,60.0,10,125389.7,2,1.0,1.0,178616.73,0
153,505,2,1,37.0,0,134006.39,1,1.0,1.0,93736.69,0
154,550,2,1,51.0,5,0.0,2,1.0,0.0,153917.41,0
155,850,0,0,41.0,5,0.0,2,1.0,1.0,34827.43,0
156,651,0,0,39.0,8,0.0,1,1.0,0.0,137452.57,0
157,734,0,1,43.0,7,107805.67,1,0.0,0.0,182505.68,0
158,725,0,1,35.0,7,75915.75,1,1.0,0.0,150507.43,0
159,684,0,1,35.0,6,135871.5,1,1.0,1.0,87219.41,0
160,523,0,1,34.0,2,161588.89,1,1.0,1.0,51358.66,0
161,630,0,1,33.0,9,0.0,2,1.0,0.0,64804.59,0
162,623,2,1,44.0,1,83325.77,1,0.0,1.0,80828.78,0
163,547,1,1,25.0,4,98141.57,2,1.0,1.0,52309.8,0
164,622,2,0,26.0,8,0.0,2,1.0,1.0,124964.82,0
165,722,0,0,38.0,3,0.0,2,0.0,1.0,167984.72,0
166,714,1,1,39.0,3,149887.49,2,1.0,0.0,63846.36,0
167,811,1,0,28.0,4,167738.82,2,1.0,1.0,9903.42,0
168,532,0,1,38.0,9,0.0,2,0.0,0.0,30583.95,0
169,692,0,0,42.0,2,0.0,2,1.0,0.0,145222.93,0
170,583,0,0,44.0,8,0.0,2,1.0,1.0,27431.62,0
171,793,2,1,25.0,3,100913.57,1,0.0,0.0,10579.72,0
172,783,2,0,59.0,9,126224.87,1,1.0,1.0,4423.63,0
173,649,0,1,39.0,3,113096.41,1,1.0,1.0,60335.24,0
174,608,1,0,40.0,7,96202.32,1,0.0,0.0,161154.85,0
175,451,0,0,36.0,2,0.0,2,1.0,1.0,180142.42,0
176,695,0,0,23.0,1,0.0,2,1.0,1.0,141756.32,0
177,774,2,0,43.0,1,116360.07,1,1.0,0.0,17004.14,0
178,588,0,1,30.0,3,115007.08,1,0.0,0.0,176858.5,0
179,473,1,0,32.0,5,146602.25,2,1.0,1.0,72946.95,0
180,444,0,1,43.0,3,0.0,2,1.0,1.0,159131.21,0
181,715,0,0,33.0,3,85227.84,1,1.0,1.0,68087.15,0
182,718,0,0,43.0,0,93143.39,1,1.0,0.0,167554.86,0
183,683,0,1,38.0,7,109346.13,2,1.0,0.0,102665.92,0
184,748,2,1,58.0,9,122330.7,2,0.0,1.0,124429.19,0
185,567,0,0,23.0,9,93522.2,1,0.0,1.0,81425.61,0
186,682,2,1,36.0,5,0.0,2,1.0,1.0,147758.51,0
187,733,1,1,48.0,7,85915.52,1,1.0,1.0,23860.5,0
188,796,2,1,67.0,5,0.0,2,0.0,1.0,54871.02,0
189,674,0,0,27.0,4,79144.34,1,0.0,1.0,50743.83,0
190,628,0,1,34.0,4,158741.43,2,1.0,1.0,126192.54,0
191,786,0,0,62.0,8,0.0,1,1.0,1.0,165702.64,0
192,753,0,0,38.0,6,142263.45,1,0.0,1.0,33730.43,0
193,724,0,1,40.0,6,0.0,2,0.0,0.0,106149.48,0
194,536,0,1,39.0,4,0.0,2,1.0,0.0,27150.35,0
195,506,2,1,50.0,3,0.0,2,1.0,0.0,12016.79,0
196,619,1,0,28.0,6,99152.73,2,1.0,0.0,48475.12,0
197,662,0,1,44.0,8,0.0,2,1.0,1.0,175314.87,0
198,505,1,0,37.0,6,159863.9,2,0.0,1.0,125307.87,0
199,654,1,1,31.0,5,150593.59,2,1.0,1.0,105218.45,0
200,673,1,0,29.0,4,99097.36,1,1.0,1.0,9796.69,0
201,536,1,0,44.0,4,121898.82,1,0.0,0.0,131007.18,0
202,758,0,0,39.0,6,127357.76,1,0.0,1.0,56577.0,0
203,731,2,0,33.0,5,137388.01,2,1.0,0.0,165000.68,0
204,426,0,1,34.0,9,0.0,2,1.0,0.0,107876.91,0
205,763,0,0,38.0,0,152582.2,2,0.0,0.0,31892.82,0
206,516,1,1,50.0,7,139675.07,2,1.0,0.0,45591.23,0
207,508,0,0,41.0,5,0.0,2,1.0,1.0,94170.84,0
208,673,2,0,37.0,8,0.0,2,1.0,1.0,183318.79,0
209,583,2,0,40.0,4,0.0,2,1.0,0.0,114093.73,0
210,832,2,1,29.0,8,93833.86,1,0.0,1.0,10417.87,0
211,751,0,1,29.0,1,135536.5,1,1.0,0.0,66825.33,0
212,746,0,0,34.0,4,0.0,1,0.0,1.0,65166.6,0
213,696,1,0,27.0,2,96129.32,2,1.0,1.0,5983.7,0
214,692,0,1,40.0,6,163505.16,1,0.0,0.0,90424.09,0
215,497,0,1,41.0,9,0.0,1,0.0,0.0,22074.48,0
216,579,2,0,31.0,9,0.0,2,1.0,0.0,112395.98,0
217,633,0,1,38.0,2,91902.56,2,1.0,1.0,107673.35,0
218,708,2,1,33.0,3,0.0,2,1.0,0.0,138613.21,0
219,775,1,0,77.0,6,135120.56,1,1.0,0.0,37836.64,0
220,508,0,0,31.0,7,0.0,2,1.0,1.0,6123.15,0
221,757,0,1,47.0,3,130747.1,1,1.0,0.0,143829.54,0
222,662,2,1,38.0,4,0.0,2,1.0,0.0,136259.65,0
223,584,0,1,49.0,8,172713.44,1,1.0,0.0,113860.81,0
224,553,1,0,25.0,7,128524.19,2,1.0,0.0,20682.46,0
225,634,1,1,24.0,8,103097.85,1,1.0,1.0,157577.29,0
226,718,0,0,31.0,0,118100.59,2,1.0,0.0,103165.15,0
227,794,0,1,56.0,9,96951.21,1,1.0,1.0,71776.76,0
228,744,0,0,38.0,9,0.0,2,0.0,0.0,20940.76,0
229,774,0,0,42.0,3,137781.65,1,0.0,0.0,199316.19,0
230,669,0,0,42.0,9,0.0,2,0.0,0.0,135630.32,0
231,679,0,1,45.0,3,146758.24,1,1.0,0.0,48466.89,0
232,642,1,0,19.0,3,113905.48,1,1.0,1.0,176137.2,0
233,784,2,1,35.0,3,0.0,2,0.0,0.0,81483.64,0
234,412,0,1,29.0,5,0.0,2,0.0,0.0,12510.53,0
235,524,1,0,25.0,7,131402.21,1,0.0,0.0,193668.49,0
236,797,0,1,29.0,1,0.0,1,0.0,1.0,149991.32,0
237,713,2,1,38.0,6,116980.78,2,0.0,1.0,76038.38,0
238,755,0,0,78.0,5,121206.96,1,1.0,1.0,76016.49,0
239,782,2,1,34.0,6,147422.44,1,0.0,1.0,42143.61,0
240,737,1,0,40.0,2,162485.8,2,1.0,0.0,149381.32,0
241,799,2,1,35.0,7,0.0,2,0.0,1.0,140780.8,0
242,738,1,0,40.0,1,115409.18,2,0.0,0.0,180456.8,0
243,715,0,1,32.0,8,175307.32,1,1.0,0.0,187051.23,0
244,611,1,0,43.0,9,127216.31,2,0.0,1.0,17913.25,0
245,790,0,0,41.0,2,126619.27,1,1.0,0.0,198224.38,0
246,670,2,0,29.0,9,0.0,2,1.0,0.0,27359.19,0
247,605,0,1,32.0,9,0.0,2,1.0,1.0,55724.24,0
248,667,2,0,36.0,3,121542.57,2,1.0,1.0,186841.71,0
249,609,2,1,32.0,4,99883.16,1,1.0,1.0,120594.85,0
250,644,0,1,33.0,9,141234.98,1,1.0,0.0,95673.05,0
251,569,2,1,41.0,2,0.0,2,1.0,0.0,134272.57,0
252,659,1,1,29.0,9,82916.48,1,1.0,1.0,84133.48,0
253,564,0,1,35.0,4,0.0,1,1.0,0.0,158937.55,0
254,791,1,0,35.0,7,52436.2,1,1.0,0.0,161051.75,0
255,458,2,0,35.0,5,166492.48,1,1.0,0.0,135287.74,0
256,605,0,0,28.0,6,0.0,2,0.0,0.0,159508.52,0
257,814,1,1,44.0,8,95488.82,2,0.0,0.0,107013.59,0
258,648,2,1,55.0,1,81370.07,1,0.0,1.0,181534.04,0
259,590,0,0,45.0,2,81828.22,1,1.0,0.0,52167.97,0
260,654,0,0,35.0,2,90865.8,1,1.0,1.0,86764.46,0
261,631,1,0,29.0,2,96863.52,2,1.0,1.0,31613.35,0
262,644,0,1,37.0,2,186347.97,2,1.0,0.0,92809.73,0
263,559,1,0,36.0,1,104356.94,2,0.0,1.0,54184.06,0
264,425,0,1,39.0,4,0.0,2,1.0,0.0,197226.32,0
265,557,0,1,33.0,3,54503.55,1,1.0,1.0,371.05,0
266,590,0,1,40.0,8,0.0,2,1.0,0.0,62933.03,0
267,437,0,1,49.0,9,111634.29,2,0.0,1.0,166440.32,0
268,719,0,1,61.0,5,0.0,2,0.0,1.0,29132.43,0
269,650,1,1,34.0,4,142393.11,1,1.0,1.0,11276.48,0
270,634,1,0,37.0,7,143258.85,2,1.0,0.0,192721.98,0
271,804,1,0,33.0,10,138335.96,1,1.0,1.0,80483.76,0
272,726,0,0,38.0,5,126875.62,1,1.0,0.0,128052.29,0
273,535,0,0,27.0,6,0.0,2,0.0,1.0,49775.58,0
274,547,0,1,30.0,6,0.0,2,1.0,1.0,18471.86,0
275,712,0,1,33.0,2,182888.08,1,1.0,0.0,3061.0,0
276,578,0,1,32.0,4,0.0,2,1.0,1.0,141822.8,0
277,775,1,1,32.0,8,121669.23,1,0.0,1.0,125898.39,0
278,573,1,1,31.0,0,134644.19,1,1.0,1.0,70381.49,0
279,706,1,1,34.0,0,140641.26,2,1.0,1.0,77271.91,0
280,703,2,1,31.0,6,0.0,2,1.0,1.0,67667.19,0
281,504,2,1,44.0,4,113522.64,1,1.0,1.0,12405.2,0
282,529,2,0,44.0,1,0.0,2,0.0,0.0,14161.3,0
283,617,0,1,74.0,10,0.0,2,1.0,1.0,53949.98,0
284,703,0,1,50.0,8,160139.59,2,1.0,1.0,79314.1,0
285,690,2,1,26.0,8,116318.23,1,1.0,1.0,83253.05,0
286,677,2,0,34.0,4,0.0,2,1.0,1.0,6175.53,0
287,637,0,1,33.0,2,145731.83,1,0.0,1.0,109219.43,0
288,647,0,1,28.0,8,0.0,2,1.0,1.0,91055.27,0
289,850,0,0,34.0,6,101266.51,1,1.0,0.0,33501.98,0
290,831,1,1,32.0,9,80262.66,1,1.0,0.0,194867.78,0
291,561,0,1,28.0,7,0.0,2,1.0,0.0,7797.01,0
292,670,0,1,37.0,2,0.0,2,1.0,1.0,54229.74,0
293,639,0,1,77.0,6,80926.02,2,1.0,1.0,55829.25,0
294,631,2,1,33.0,2,0.0,2,1.0,1.0,158268.84,0
295,829,1,0,37.0,3,103457.76,1,0.0,0.0,1114.12,0
296,523,1,1,27.0,8,61688.61,2,1.0,0.0,147059.16,0
297,700,0,1,38.0,9,65962.63,1,1.0,1.0,100950.48,0
298,632,0,1,42.0,4,126115.6,1,1.0,0.0,100998.5,0
299,463,1,0,41.0,8,123151.51,2,1.0,0.0,70127.93,0
300,703,2,1,36.0,7,135095.47,1,1.0,0.0,143859.66,0
301,465,2,0,33.0,6,0.0,2,1.0,1.0,95500.98,0
302,547,0,1,30.0,6,0.0,2,1.0,1.0,18471.86,0
303,648,2,1,32.0,8,0.0,1,1.0,0.0,133653.38,0
304,681,0,1,29.0,8,0.0,1,1.0,0.0,66367.33,0
305,713,0,1,44.0,1,63438.91,1,1.0,0.0,64375.4,0
306,679,2,0,40.0,7,0.0,2,1.0,1.0,163757.29,0
307,617,0,1,25.0,1,102585.88,2,1.0,1.0,115387.4,0
308,623,0,1,23.0,1,106012.2,2,0.0,1.0,191415.94,0
309,672,0,1,43.0,5,0.0,1,0.0,0.0,63833.09,0
310,494,0,1,25.0,6,0.0,2,0.0,1.0,109988.09,0
311,662,0,1,26.0,0,0.0,2,0.0,1.0,72929.96,0
312,660,2,1,33.0,4,0.0,1,1.0,0.0,29664.45,0
313,458,1,0,43.0,1,106870.12,2,1.0,0.0,100564.37,0
314,678,1,1,36.0,6,118448.15,2,1.0,0.0,53172.02,0
315,590,2,0,23.0,7,0.0,2,1.0,0.0,196789.9,0
316,632,2,0,32.0,1,0.0,2,1.0,0.0,19525.65,0
317,589,1,0,50.0,5,144895.05,2,1.0,1.0,34941.23,0
318,617,0,1,30.0,3,132005.77,1,1.0,0.0,142940.39,0
319,589,1,1,48.0,5,126111.61,1,0.0,1.0,133961.19,0
320,703,2,1,20.0,3,165260.98,1,1.0,1.0,41626.78,0
321,679,2,1,58.0,9,109327.65,1,1.0,1.0,3829.13,0
322,662,0,0,22.0,2,126362.57,2,1.0,1.0,97382.8,0
323,579,0,0,45.0,2,0.0,2,0.0,0.0,11514.39,0
324,586,1,1,34.0,9,74309.81,1,1.0,0.0,15034.93,0
325,652,2,0,38.0,6,123081.84,2,1.0,1.0,188657.97,0
326,616,2,1,31.0,7,76665.71,2,1.0,1.0,163809.08,0
327,818,1,1,43.0,10,105301.5,1,1.0,1.0,78941.59,0
328,774,1,1,34.0,4,120875.23,2,0.0,1.0,113407.26,0
329,561,1,1,32.0,6,166824.59,1,1.0,0.0,139451.98,0
330,831,0,0,32.0,2,146033.62,1,1.0,0.0,191260.74,0
331,733,2,0,38.0,5,0.0,2,1.0,1.0,1271.51,0
332,658,0,0,31.0,7,123974.96,1,1.0,0.0,102153.75,0
333,850,0,1,31.0,1,96399.31,2,1.0,0.0,106534.15,0
334,563,0,0,34.0,6,139810.34,1,1.0,1.0,152417.79,0
335,631,0,1,36.0,1,0.0,2,0.0,0.0,133141.34,0
336,549,1,0,37.0,1,130622.34,2,1.0,1.0,128499.94,0
337,494,0,1,25.0,6,0.0,2,0.0,1.0,109988.09,0
338,709,2,1,23.0,10,0.0,2,0.0,0.0,129590.18,0
339,818,0,1,36.0,4,0.0,2,1.0,1.0,8037.03,0
340,578,1,0,36.0,8,129745.1,1,1.0,1.0,143683.75,0
341,599,1,1,25.0,7,108380.72,1,1.0,1.0,79005.95,0
342,664,1,1,25.0,6,172812.72,2,1.0,1.0,108008.65,0
343,504,2,1,40.0,5,0.0,2,0.0,0.0,146703.36,0
344,648,2,1,55.0,1,81370.07,1,0.0,1.0,181534.04,0
345,849,0,1,35.0,4,110837.73,1,0.0,0.0,126419.8,0
346,662,0,1,34.0,2,0.0,2,0.0,1.0,21497.27,0
347,565,0,0,40.0,2,0.0,2,1.0,1.0,129956.13,0
348,709,0,0,45.0,3,104118.5,1,0.0,1.0,174032.0,0
349,575,0,0,54.0,9,68332.96,1,1.0,1.0,144390.75,0
350,662,0,0,29.0,10,0.0,2,1.0,0.0,137508.31,0
351,617,2,1,61.0,3,113858.95,1,1.0,1.0,38129.22,0
352,725,1,0,39.0,5,116803.8,1,1.0,0.0,124052.97,0
353,724,1,1,36.0,6,94615.11,2,1.0,1.0,10627.21,0
354,713,1,1,47.0,1,95994.98,1,1.0,0.0,197529.23,0
355,721,0,0,49.0,1,120108.56,1,0.0,1.0,183421.76,0
356,698,0,1,36.0,2,82275.35,2,1.0,1.0,93249.26,0
357,694,0,1,42.0,8,133767.19,1,1.0,0.0,36405.21,0
358,473,1,1,40.0,8,152576.25,2,1.0,0.0,73073.68,0
359,642,2,0,33.0,9,0.0,2,1.0,1.0,150475.14,0
360,750,2,0,36.0,8,112940.07,1,0.0,1.0,9855.81,0
361,807,1,1,37.0,10,130110.45,2,0.0,1.0,172097.95,0
362,841,2,1,28.0,4,0.0,2,1.0,1.0,179436.6,0
363,640,0,0,33.0,6,84719.13,2,1.0,1.0,113048.79,0
364,588,0,1,30.0,3,115007.08,1,0.0,0.0,176858.5,0
365,535,0,1,45.0,2,0.0,2,1.0,0.0,125658.28,0
366,472,2,1,40.0,4,0.0,1,1.0,0.0,70154.22,0
367,616,0,1,59.0,5,153861.1,1,1.0,1.0,17699.48,0
368,676,0,0,32.0,5,0.0,2,1.0,1.0,75465.41,0
369,654,0,1,29.0,4,132954.64,1,1.0,1.0,146715.07,0
370,570,0,1,37.0,6,0.0,1,1.0,1.0,187758.5,0
371,657,1,1,25.0,2,171770.55,1,1.0,0.0,22745.5,0
372,689,2,0,40.0,5,154251.67,1,0.0,1.0,118319.5,0
373,801,0,1,38.0,5,0.0,2,1.0,0.0,66256.27,0
374,769,0,1,48.0,2,96542.16,2,0.0,1.0,197885.72,0
375,534,0,0,23.0,5,104822.45,1,0.0,1.0,160176.47,0
376,541,1,1,51.0,7,90373.28,2,1.0,0.0,179861.79,0
377,647,2,1,32.0,9,80958.36,1,1.0,1.0,128590.73,0
378,756,2,1,29.0,2,117412.19,2,1.0,0.0,4888.91,0
379,551,2,1,76.0,2,128410.71,2,1.0,1.0,181718.73,0
380,751,0,1,29.0,1,135536.5,1,1.0,0.0,66825.33,0
381,480,1,0,25.0,3,174330.35,2,0.0,0.0,181647.13,0
382,711,2,1,32.0,5,0.0,2,1.0,1.0,147720.27,0
383,728,0,1,34.0,4,106328.08,1,1.0,0.0,88680.65,0
384,494,0,1,25.0,6,0.0,2,0.0,1.0,109988.09,0
385,643,0,0,46.0,6,0.0,2,0.0,0.0,106781.59,0
386,686,0,0,41.0,10,0.0,1,1.0,0.0,133086.45,0
387,775,2,1,30.0,4,0.0,2,0.0,1.0,57461.13,0
388,687,2,1,35.0,8,100988.39,2,1.0,0.0,22247.27,0
